Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 128
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
30	1.0928	1.1061	1.34	38.40
31	1.0926	1.0866	1.34	38.44
32	1.0932	1.0879	1.34	48.09
33	1.0930	1.0881	1.34	48.09
34	1.0935	1.0878	1.34	38.40
35	1.0918	1.0920	1.34	38.45
36	1.0909	1.0886	1.34	48.09
37	1.0937	1.0886	1.33	48.14
38	1.0925	1.0874	1.34	38.42
39	1.0932	1.1008	1.34	38.39
40	1.0927	1.1029	1.33	48.13
41	1.0924	1.0877	1.33	48.17
42	1.0939	1.0884	1.34	38.37
43	1.0929	1.0900	1.34	38.40
44	1.0937	1.0921	1.33	48.13
45	1.0926	1.0895	1.34	38.44
46	1.0928	1.0939	1.33	48.11
47	1.0922	1.0899	1.34	38.47
48	1.0929	1.0890	1.34	38.36
49	1.0933	1.0905	1.33	48.11
50	1.0922	1.0867	1.33	48.16
51	1.0924	1.0852	1.33	48.16
52	1.0939	1.0973	1.34	38.39
53	1.0934	1.1085	1.34	38.44
54	1.0913	1.0906	1.34	38.48
55	1.0931	1.0862	1.34	38.43
56	1.0923	1.0899	1.34	38.39
57	1.0932	1.0917	1.34	38.43
58	1.0919	1.0915	1.34	48.08
59	1.0918	1.0918	1.34	38.40
60	1.0920	1.0863	1.34	38.46
61	1.0919	1.0856	1.33	48.06
62	1.0923	1.0939	1.34	38.42
63	1.0924	1.0888	1.34	38.40
64	1.0933	1.0877	1.34	38.36
65	1.0923	1.0951	1.33	48.13
66	1.0942	1.0990	1.33	48.07
67	1.0929	1.0867	1.33	48.12
68	1.0925	1.0871	1.33	48.11
69	1.0926	1.0911	1.34	38.46
70	1.0922	1.1013	1.34	38.43
71	1.0925	1.0992	1.34	38.45
72	1.0934	1.0901	1.34	38.44
73	1.0928	1.0873	1.34	38.44
74	1.0918	1.0953	1.33	48.11
75	1.0923	1.0948	1.34	48.09
76	1.0921	1.0893	1.34	38.42
77	1.0934	1.0888	1.33	48.15
78	1.0917	1.0869	1.34	48.11
79	1.0935	1.0872	1.34	38.43
80	1.0922	1.0859	1.33	48.11
81	1.0935	1.0967	1.34	48.08
82	1.0930	1.0888	1.34	38.44
83	1.0925	1.0905	1.34	48.07
84	1.0923	1.0875	1.33	48.14
85	1.0933	1.1039	1.34	38.42
86	1.0931	1.0920	1.34	38.45
87	1.0921	1.0905	1.34	48.08
88	1.0919	1.0867	1.33	48.11
89	1.0921	1.0921	1.34	48.11
90	1.0923	1.0886	1.34	48.08
91	1.0926	1.0890	1.34	48.14
92	1.0923	1.0911	1.33	48.14
93	1.0918	1.1121	1.34	38.41
94	1.0928	1.0867	1.33	48.11
95	1.0922	1.0885	1.33	48.09
96	1.0935	1.0872	1.34	48.12
97	1.0926	1.0896	1.33	48.12
98	1.0915	1.0885	1.34	48.10
99	1.0923	1.0864	1.33	48.15
100	1.0935	1.0948	1.34	38.39

Scenario 5: Learning Rate = 0.01, Loss Function = SmoothL1Loss
Number of Batches: 128
Scheduler: StepLR
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.4117	0.3407	0.89	55.52
2	0.3199	0.3286	0.86	56.60
3	0.2934	0.3387	0.90	56.03
4	0.2688	0.3301	0.87	56.23
5	0.2476	0.3365	0.89	55.17
6	0.2237	0.3404	0.89	55.30
7	0.2026	0.3488	0.93	55.26
8	0.1848	0.3530	0.92	55.41
9	0.1691	0.3607	0.94	54.02
10	0.1565	0.3645	0.97	53.72
11	0.1439	0.3589	0.94	54.19
12	0.1342	0.3752	0.98	52.98
13	0.1258	0.3833	1.02	53.00
14	0.1182	0.3825	1.02	53.25
15	0.1112	0.3857	1.01	52.35
16	0.1062	0.3788	1.01	53.12
17	0.1005	0.3794	1.00	52.97
18	0.0959	0.4054	1.05	51.07
19	0.0911	0.3998	1.07	51.75
20	0.0872	0.3974	1.06	51.88

Scenario 6: Learning Rate = 0.01, Loss Function = MSELoss
Number of Batches: 128
Scheduler: StepLR
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.0252	0.8314	0.92	53.54
2	0.7502	0.8027	0.89	55.66
3	0.6751	0.7966	0.87	53.91
4	0.6217	0.7997	0.88	54.66
5	0.5581	0.8311	0.92	53.87
6	0.5039	0.8462	0.93	53.37
7	0.4471	0.8700	0.96	53.12
8	0.4024	0.8721	0.95	52.59
9	0.3644	0.9182	1.00	52.41
10	0.3289	0.9137	0.99	51.98
11	0.3011	0.9351	1.02	52.27
12	0.2774	0.9128	0.99	51.77
13	0.2588	0.9340	1.02	51.35
14	0.2399	0.9904	1.07	51.02
15	0.2247	0.9563	1.04	51.43
16	0.2127	0.9625	1.05	51.22
17	0.2035	0.9739	1.06	51.12
18	0.1922	0.9626	1.05	50.99
19	0.1840	0.9888	1.07	50.96
20	0.1725	0.9857	1.08	50.52
21	0.1665	0.9662	1.06	50.60
22	0.1605	0.9704	1.07	51.20
23	0.1558	0.9954	1.08	50.61
24	0.1475	1.0028	1.09	50.55
25	0.1424	0.9782	1.07	49.53
26	0.1374	0.9970	1.09	49.89
27	0.1346	1.0210	1.11	50.37
28	0.1294	1.0100	1.10	50.08
29	0.1252	1.0193	1.10	48.80
30	0.1215	1.0141	1.09	49.08
31	0.1181	1.0246	1.11	49.75
32	0.1172	1.0376	1.12	49.16
33	0.1141	1.0013	1.08	49.87
34	0.1084	1.0266	1.11	49.85
35	0.1064	1.0463	1.12	49.97
36	0.1033	1.0345	1.12	49.64
37	0.1015	1.0210	1.10	49.67
38	0.1004	1.0476	1.13	49.54
39	0.0975	1.0273	1.11	49.53
40	0.0939	1.0177	1.10	49.67
41	0.0927	1.0132	1.10	49.61
42	0.0896	1.0174	1.09	50.09
43	0.0908	1.0585	1.14	49.47
44	0.0872	1.0311	1.11	49.90
45	0.0852	1.0250	1.11	50.05
46	0.0853	1.0390	1.11	49.93
47	0.0817	1.0473	1.13	49.27
48	0.0805	1.0468	1.13	48.99
49	0.0806	1.0270	1.10	49.29
50	0.0790	1.0349	1.11	49.25
51	0.0786	1.0578	1.14	49.33
52	0.0748	1.0416	1.12	49.48
53	0.0748	1.0799	1.15	49.33
54	0.0748	1.0547	1.13	49.03
55	0.0728	1.0693	1.15	48.97
56	0.0711	1.0400	1.12	49.61
57	0.0702	1.0697	1.15	48.77
58	0.0700	1.0434	1.11	49.62
59	0.0698	1.0489	1.12	49.65
60	0.0681	1.0575	1.13	49.74
61	0.0658	1.0291	1.11	49.39
62	0.0661	1.0524	1.12	49.27
63	0.0659	1.0525	1.14	49.48
64	0.0641	1.0441	1.13	49.27
65	0.0637	1.0221	1.10	50.10
66	0.0616	1.0539	1.14	49.55
67	0.0623	1.0841	1.16	49.05
68	0.0620	1.0550	1.13	49.54
69	0.0593	1.0440	1.12	49.69
70	0.0594	1.0653	1.14	49.17
71	0.0611	1.0627	1.13	49.25
72	0.0592	1.0549	1.13	49.15
73	0.0583	1.0566	1.14	49.46
74	0.0566	1.0780	1.14	49.39
75	0.0569	1.0606	1.13	49.66
76	0.0557	1.0350	1.12	48.99
77	0.0542	1.0456	1.14	48.51
78	0.0552	1.0562	1.13	49.32
79	0.0564	1.0473	1.12	49.65
80	0.0558	1.0614	1.15	48.98
81	0.0528	1.0854	1.16	49.08
82	0.0530	1.0584	1.13	48.96
83	0.0524	1.0591	1.14	49.58
84	0.0515	1.0730	1.15	49.07
85	0.0511	1.0784	1.15	49.04
86	0.0503	1.0724	1.15	49.05
87	0.0506	1.0772	1.15	48.82
88	0.0502	1.0960	1.18	49.23
89	0.0501	1.0729	1.15	49.21
90	0.0493	1.0698	1.14	49.00
91	0.0488	1.0650	1.15	48.88
92	0.0489	1.0733	1.15	49.04
93	0.0480	1.0642	1.14	48.87
94	0.0485	1.0449	1.12	49.10
95	0.0469	1.0859	1.16	48.72
96	0.0472	1.0568	1.14	48.94
97	0.0470	1.0843	1.16	48.78
98	0.0466	1.0887	1.16	48.61
99	0.0461	1.0389	1.13	49.17
100	0.0459	1.0559	1.13	48.98
101	0.0452	1.0596	1.13	49.26
102	0.0457	1.0950	1.17	48.94
103	0.0442	1.0685	1.13	49.26
104	0.0438	1.0636	1.13	48.45
105	0.0439	1.0808	1.15	49.54
106	0.0432	1.0695	1.15	49.09
107	0.0452	1.0765	1.15	48.75
108	0.0431	1.0677	1.14	48.89
109	0.0436	1.0804	1.15	48.65
110	0.0426	1.0545	1.13	49.07
111	0.0428	1.0744	1.16	48.94
112	0.0440	1.0814	1.15	48.79
113	0.0424	1.0788	1.15	48.72
114	0.0405	1.0871	1.16	48.42
115	0.0407	1.0527	1.13	48.57
116	0.0418	1.0612	1.14	48.79
117	0.0404	1.0743	1.15	48.89
118	0.0394	1.0615	1.14	48.76
119	0.0405	1.0951	1.17	48.67
120	0.0405	1.0807	1.15	48.80
121	0.0399	1.0649	1.14	48.88
122	0.0398	1.0766	1.15	48.76
123	0.0400	1.0682	1.15	48.50
124	0.0403	1.0647	1.14	48.76
125	0.0385	1.0721	1.16	48.53
126	0.0393	1.0623	1.14	48.90
127	0.0378	1.0651	1.14	48.39
128	0.0377	1.0664	1.14	48.93
129	0.0392	1.0542	1.13	48.78
130	0.0370	1.0732	1.16	48.83
131	0.0376	1.0829	1.16	48.70
132	0.0376	1.0774	1.15	48.56
133	0.0375	1.0908	1.18	48.25
134	0.0363	1.0768	1.16	48.99
135	0.0380	1.0821	1.16	48.53
136	0.0379	1.0685	1.15	48.44
137	0.0370	1.0790	1.16	48.54
138	0.0360	1.0744	1.16	48.88
139	0.0354	1.0851	1.17	48.79
140	0.0349	1.0581	1.14	49.30
141	0.0351	1.0794	1.16	48.74
142	0.0366	1.0647	1.14	48.95
143	0.0378	1.0789	1.17	48.30
144	0.0348	1.0754	1.17	48.32
145	0.0342	1.0873	1.17	48.39
146	0.0347	1.0835	1.16	48.67
147	0.0355	1.0699	1.14	48.70
148	0.0348	1.0842	1.16	48.61
149	0.0356	1.0678	1.15	48.89
150	0.0340	1.0602	1.14	48.54
151	0.0337	1.0925	1.17	48.18
152	0.0348	1.0765	1.16	48.03
153	0.0353	1.0913	1.17	48.23
154	0.0327	1.0681	1.14	48.31
155	0.0336	1.1139	1.19	47.66
156	0.0339	1.0672	1.15	48.36
157	0.0337	1.1151	1.19	47.76
158	0.0347	1.0817	1.16	48.94
159	0.0323	1.0906	1.17	48.37
160	0.0328	1.0937	1.18	48.32
161	0.0341	1.0736	1.16	48.34
162	0.0327	1.1017	1.19	48.19
163	0.0331	1.0893	1.16	48.33
164	0.0323	1.0778	1.16	48.26
165	0.0338	1.0732	1.15	48.11
166	0.0322	1.0883	1.17	48.67
167	0.0317	1.0897	1.17	48.53
168	0.0319	1.0766	1.16	48.05
169	0.0321	1.0801	1.16	48.70
170	0.0322	1.0700	1.15	48.38
171	0.0321	1.0792	1.16	48.14
172	0.0317	1.1212	1.20	47.82
173	0.0306	1.0767	1.16	48.57
174	0.0306	1.0796	1.16	48.34
175	0.0315	1.0991	1.18	48.18
176	0.0320	1.0816	1.17	48.15
177	0.0315	1.0654	1.15	48.56
178	0.0306	1.0707	1.15	48.20
179	0.0304	1.0720	1.16	48.42
180	0.0304	1.0889	1.16	47.95
181	0.0304	1.0961	1.18	47.84
182	0.0315	1.0781	1.17	48.21
183	0.0306	1.0842	1.15	48.60
184	0.0302	1.0949	1.18	48.06
185	0.0288	1.0974	1.18	48.47
186	0.0289	1.0836	1.17	48.37
187	0.0301	1.0836	1.17	48.22
188	0.0300	1.0983	1.19	48.23
189	0.0289	1.1039	1.18	48.52
190	0.0297	1.0916	1.17	48.31
191	0.0291	1.0895	1.17	47.90
192	0.0291	1.0889	1.18	47.99
193	0.0280	1.0951	1.17	48.70
194	0.0297	1.0988	1.18	48.24
195	0.0301	1.0946	1.17	48.24
196	0.0302	1.0776	1.15	48.85
197	0.0290	1.0759	1.16	48.55
198	0.0274	1.0869	1.16	48.68
199	0.0293	1.1022	1.19	48.06
200	0.0296	1.0788	1.16	48.35

