Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 128
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
15	1.0925	1.1013	1.34	38.42
16	1.0935	1.1024	1.34	48.11
17	1.0922	1.0876	1.34	38.43
18	1.0926	1.0879	1.34	38.43
19	1.0926	1.0883	1.34	38.45
20	1.0928	1.0909	1.34	48.11
21	1.0927	1.0878	1.34	38.43
22	1.0924	1.0885	1.34	48.03
23	1.0924	1.0881	1.34	48.05
24	1.0930	1.0887	1.34	48.03
25	1.0930	1.0937	1.34	48.10
26	1.0918	1.0871	1.34	48.12
27	1.0931	1.0974	1.34	38.43
28	1.0923	1.0859	1.34	38.44
29	1.0926	1.0870	1.34	48.09
30	1.0927	1.0864	1.33	48.11
31	1.0923	1.0885	1.34	48.08
32	1.0927	1.0975	1.34	38.41
33	1.0925	1.1013	1.34	48.04
34	1.0917	1.0912	1.34	38.43
35	1.0914	1.1000	1.34	38.42
36	1.0930	1.1290	1.33	48.12
37	1.0920	1.0917	1.34	38.44
38	1.0929	1.0873	1.34	38.42
39	1.0925	1.0902	1.34	38.42
40	1.0925	1.0935	1.34	48.13
41	1.0918	1.0858	1.33	48.14
42	1.0927	1.0898	1.34	48.10
43	1.0934	1.0884	1.34	48.07
44	1.0924	1.0885	1.34	48.11
45	1.0932	1.0869	1.34	48.10
46	1.0918	1.0902	1.34	38.37
47	1.0921	1.0868	1.34	48.10
48	1.0924	1.0891	1.34	38.44
49	1.0935	1.0882	1.34	48.08
50	1.0923	1.0913	1.34	38.35
51	1.0927	1.0869	1.34	48.09
52	1.0923	1.0862	1.33	48.13
53	1.0922	1.0941	1.34	48.12
54	1.0924	1.0853	1.33	48.15
55	1.0923	1.0967	1.33	48.09
56	1.0931	1.0864	1.33	48.07
57	1.0925	1.0856	1.34	38.45
58	1.0916	1.0874	1.34	38.42
59	1.0938	1.0867	1.34	38.44
60	1.0941	1.0890	1.34	48.07
61	1.0928	1.1051	1.34	48.09
62	1.0922	1.0963	1.33	48.13
63	1.0921	1.1044	1.34	48.12
64	1.0924	1.0895	1.34	38.35
65	1.0929	1.1056	1.34	48.09
66	1.0915	1.1006	1.34	48.14
67	1.0945	1.0960	1.34	48.09
68	1.0923	1.1134	1.34	38.43
69	1.0927	1.0954	1.34	38.39
70	1.0932	1.0913	1.34	38.39
71	1.0924	1.0857	1.33	48.13
72	1.0938	1.0910	1.34	48.11
73	1.0923	1.0890	1.34	38.42
74	1.0917	1.0997	1.33	48.11
75	1.0926	1.1240	1.33	48.09
76	1.0923	1.0883	1.33	48.12
77	1.0925	1.0951	1.34	38.39
78	1.0931	1.0919	1.33	48.13
79	1.0918	1.0891	1.34	38.43
80	1.0918	1.0893	1.33	48.14
81	1.0925	1.0859	1.34	38.41
82	1.0926	1.0916	1.34	38.45
83	1.0920	1.0914	1.34	38.43
84	1.0923	1.1035	1.34	38.38
85	1.0935	1.0876	1.34	48.08
86	1.0917	1.0880	1.33	48.10
87	1.0923	1.0865	1.34	38.44
88	1.0922	1.0989	1.34	38.44
89	1.0927	1.0993	1.33	48.10
90	1.0936	1.0905	1.34	38.41
91	1.0929	1.0887	1.34	38.35
92	1.0927	1.1029	1.33	48.11
93	1.0927	1.0899	1.34	48.07
94	1.0926	1.0928	1.34	38.41
95	1.0931	1.0865	1.34	38.41
96	1.0931	1.0904	1.34	48.10
97	1.0924	1.0882	1.34	38.48
98	1.0923	1.0891	1.33	48.11
99	1.0940	1.1055	1.33	48.08
100	1.0923	1.0889	1.34	48.09

Scenario 5: Learning Rate = 0.01, Loss Function = SmoothL1Loss
Number of Batches: 128
Scheduler: StepLR
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.4139	0.3603	0.95	53.87
2	0.3282	0.3540	0.90	53.32
3	0.3028	0.3431	0.90	55.64
4	0.2876	0.3400	0.90	54.87
5	0.2734	0.3497	0.91	53.83
6	0.2603	0.3489	0.92	54.65
7	0.2461	0.3522	0.92	54.18
8	0.2317	0.3655	0.96	53.76
9	0.2182	0.3631	0.94	53.38
10	0.2071	0.3649	0.95	53.68
11	0.1958	0.3724	0.97	52.74
12	0.1854	0.3752	0.97	51.86
13	0.1767	0.3873	1.03	51.93
14	0.1695	0.3843	1.01	52.33
15	0.1609	0.3841	1.01	52.19
16	0.1558	0.3937	1.03	51.56
17	0.1503	0.3913	1.03	51.41
18	0.1458	0.3976	1.07	51.21
19	0.1415	0.4064	1.08	50.63
20	0.1363	0.3991	1.04	50.43

Scenario 6: Learning Rate = 0.01, Loss Function = MSELoss
Number of Batches: 128
Scheduler: StepLR
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.0465	0.8629	0.94	54.04
2	0.7682	0.8104	0.89	54.61
3	0.7023	0.8048	0.89	54.38
4	0.6611	0.8370	0.92	52.79
5	0.6191	0.8573	0.94	51.86
6	0.5799	0.8380	0.93	53.44
7	0.5432	0.8751	0.96	51.45
8	0.5110	0.8929	0.98	52.66
9	0.4764	0.9057	0.98	51.72
10	0.4442	0.9339	1.01	52.27
11	0.4182	0.9252	1.00	51.65
12	0.3954	0.9482	1.03	51.29
13	0.3749	0.9693	1.04	51.41
14	0.3599	0.9645	1.04	50.29
15	0.3429	1.0304	1.11	50.27
16	0.3282	0.9760	1.06	50.33
17	0.3155	0.9825	1.06	50.26
18	0.3021	1.0043	1.08	50.37
19	0.2944	1.0072	1.08	50.16
20	0.2866	1.0097	1.09	49.79
21	0.2755	1.0348	1.12	48.41
22	0.2705	1.0114	1.09	50.28
23	0.2620	1.0271	1.11	49.13
24	0.2559	1.0505	1.13	49.70
25	0.2529	1.0579	1.14	49.50
26	0.2454	1.0442	1.13	48.71
27	0.2418	1.0273	1.11	49.95
28	0.2383	1.0836	1.17	46.80
29	0.2309	1.0685	1.15	47.81
30	0.2266	1.0357	1.12	49.99
31	0.2244	1.0387	1.11	49.48
32	0.2202	1.0449	1.12	49.55
33	0.2209	1.0623	1.14	48.90
34	0.2124	1.0715	1.14	49.45
35	0.2091	1.0787	1.16	48.92
36	0.2071	1.0523	1.13	49.69
37	0.2054	1.0890	1.17	48.57
38	0.2075	1.0606	1.16	48.41
39	0.1977	1.0539	1.13	48.79
40	0.1978	1.0814	1.16	49.08
41	0.1939	1.0747	1.15	49.12
42	0.1934	1.0824	1.15	49.43
43	0.1892	1.0785	1.15	48.69
44	0.1916	1.0663	1.15	48.71
45	0.1851	1.0959	1.18	48.83
46	0.1875	1.0904	1.17	48.74
47	0.1827	1.0914	1.16	48.01
48	0.1816	1.0838	1.17	48.36
49	0.1808	1.0874	1.17	48.67
50	0.1778	1.1253	1.21	47.79
51	0.1801	1.0904	1.18	48.60
52	0.1781	1.1073	1.19	48.43
53	0.1747	1.1153	1.21	47.80
54	0.1707	1.0981	1.18	47.96
55	0.1717	1.1340	1.23	46.37
56	0.1705	1.0974	1.18	48.12
57	0.1724	1.1225	1.20	47.88
58	0.1683	1.1217	1.20	48.51
59	0.1711	1.1121	1.18	48.94
60	0.1665	1.1031	1.18	48.32
61	0.1653	1.1444	1.23	48.40
62	0.1664	1.1406	1.22	47.32
63	0.1648	1.1128	1.20	47.46
64	0.1648	1.1243	1.22	47.75
65	0.1632	1.1244	1.20	47.82
66	0.1629	1.1303	1.21	48.06
67	0.1617	1.1376	1.23	47.47
68	0.1626	1.1319	1.21	47.67
69	0.1588	1.1361	1.21	48.27
70	0.1548	1.1649	1.25	47.64
71	0.1592	1.1495	1.22	48.01
72	0.1593	1.1438	1.22	47.58
73	0.1553	1.1444	1.23	47.89
74	0.1564	1.1355	1.22	47.25
75	0.1560	1.1501	1.23	48.12
76	0.1558	1.1446	1.23	47.70
77	0.1539	1.1313	1.21	48.13
78	0.1532	1.1434	1.23	47.51
79	0.1541	1.1531	1.23	47.35
80	0.1546	1.1393	1.22	48.12
81	0.1544	1.1347	1.21	47.74
82	0.1518	1.1382	1.23	47.75
83	0.1507	1.1730	1.26	47.16
84	0.1489	1.1497	1.23	47.84
85	0.1500	1.1568	1.25	47.28
86	0.1522	1.1528	1.23	47.76
87	0.1479	1.1469	1.23	47.25
88	0.1471	1.1392	1.23	47.45
89	0.1488	1.1368	1.21	47.76
90	0.1478	1.1460	1.22	47.67
91	0.1451	1.1642	1.26	47.62
92	0.1487	1.1747	1.26	46.26
93	0.1471	1.1414	1.22	47.43
94	0.1470	1.1559	1.23	47.85
95	0.1424	1.1617	1.25	47.63
96	0.1449	1.1420	1.23	47.34
97	0.1465	1.1304	1.22	47.77
98	0.1454	1.1517	1.24	47.48
99	0.1431	1.1525	1.25	47.12
100	0.1419	1.1719	1.25	46.80
101	0.1445	1.1514	1.23	47.74
102	0.1441	1.1715	1.26	47.47
103	0.1435	1.1575	1.23	47.37
104	0.1414	1.1542	1.24	47.21
105	0.1412	1.1764	1.27	46.73
106	0.1426	1.2256	1.31	46.63
107	0.1412	1.2076	1.29	46.76
108	0.1416	1.1679	1.24	47.36
109	0.1394	1.1643	1.24	46.85
110	0.1388	1.1666	1.25	47.29
111	0.1393	1.1604	1.25	47.53
112	0.1380	1.1829	1.28	46.68
113	0.1365	1.1743	1.25	47.21
114	0.1370	1.1710	1.26	47.21
115	0.1372	1.1917	1.27	46.24
116	0.1420	1.1999	1.28	46.11
117	0.1398	1.1893	1.28	46.89
118	0.1358	1.1711	1.26	47.31
119	0.1354	1.1704	1.25	46.77
120	0.1396	1.1910	1.27	46.79
121	0.1366	1.1719	1.25	47.79
122	0.1377	1.1944	1.27	46.95
123	0.1336	1.1829	1.27	46.43
124	0.1363	1.2031	1.28	46.94
125	0.1378	1.1787	1.25	46.89
126	0.1350	1.1873	1.27	47.16
127	0.1362	1.2007	1.28	46.63
128	0.1352	1.1986	1.30	46.70
129	0.1385	1.1875	1.27	46.60
130	0.1347	1.1741	1.25	46.83
131	0.1368	1.1755	1.26	47.07
132	0.1314	1.1937	1.28	46.84
133	0.1335	1.1805	1.27	46.80
134	0.1362	1.2116	1.28	46.66
135	0.1349	1.1723	1.25	47.25
136	0.1336	1.1935	1.27	47.57
137	0.1325	1.1761	1.25	47.11
138	0.1331	1.1723	1.25	47.07
139	0.1293	1.1685	1.25	47.19
140	0.1340	1.1704	1.25	47.28
141	0.1327	1.1852	1.26	47.31
142	0.1339	1.1830	1.26	46.70
143	0.1344	1.1812	1.25	46.63
144	0.1314	1.1888	1.26	46.47
145	0.1318	1.1714	1.25	47.03
146	0.1289	1.1940	1.28	47.26
147	0.1309	1.1946	1.28	47.07
148	0.1321	1.1857	1.27	46.84
149	0.1317	1.1767	1.25	46.40
150	0.1331	1.1947	1.29	46.37
151	0.1306	1.1808	1.27	46.69
152	0.1315	1.1824	1.27	46.71
153	0.1313	1.1866	1.27	47.07
154	0.1281	1.1843	1.26	46.67
155	0.1292	1.2113	1.29	46.15
156	0.1327	1.2033	1.29	46.48
157	0.1324	1.2087	1.28	47.04
158	0.1296	1.1837	1.26	47.36
159	0.1288	1.2078	1.29	46.43
160	0.1288	1.1897	1.28	47.17
161	0.1275	1.1602	1.23	47.27
162	0.1296	1.2002	1.29	46.28
163	0.1283	1.1905	1.27	46.45
164	0.1257	1.1968	1.29	46.75
165	0.1307	1.1874	1.27	46.80
166	0.1287	1.1800	1.26	47.23
167	0.1270	1.1994	1.30	46.48
168	0.1292	1.1733	1.25	46.99
169	0.1295	1.1873	1.27	46.50
170	0.1291	1.2178	1.30	46.72
171	0.1302	1.1902	1.28	46.41
172	0.1250	1.2005	1.29	46.59
173	0.1255	1.1679	1.25	47.03
174	0.1259	1.1968	1.28	46.14
175	0.1307	1.2222	1.30	46.54
176	0.1282	1.1918	1.27	45.95
177	0.1276	1.1990	1.28	46.95
178	0.1256	1.2049	1.29	46.52
179	0.1281	1.1894	1.26	47.78
180	0.1268	1.2029	1.28	46.33
181	0.1247	1.2168	1.30	46.82
182	0.1284	1.1924	1.28	46.85
183	0.1244	1.2058	1.29	46.46
184	0.1250	1.1950	1.28	47.08
185	0.1285	1.1940	1.28	46.70
186	0.1266	1.1955	1.27	47.00
187	0.1235	1.1961	1.28	46.94
188	0.1229	1.2193	1.30	47.00
189	0.1264	1.1933	1.26	46.85
190	0.1254	1.1965	1.28	46.25
191	0.1254	1.1957	1.27	46.14
192	0.1234	1.2382	1.31	46.57
193	0.1266	1.2054	1.27	46.68
194	0.1257	1.1837	1.26	46.94
195	0.1214	1.1790	1.26	46.82
196	0.1237	1.1828	1.25	46.63
197	0.1251	1.1916	1.27	45.57
198	0.1232	1.2150	1.30	46.39
199	0.1262	1.2068	1.28	46.28
200	0.1232	1.1792	1.25	46.41

