Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation RMSE	Validation Accuracy
77	0.2763	0.2936	0.87	0.64
78	0.2760	0.2937	0.87	0.64
79	0.2756	0.2937	0.87	0.63
80	0.2754	0.2936	0.87	0.64
81	0.2752	0.2941	0.87	0.63
82	0.2748	0.2949	0.88	0.64
83	0.2746	0.2926	0.87	0.64
84	0.2743	0.2920	0.87	0.64
85	0.2741	0.2921	0.87	0.64
86	0.2739	0.2929	0.87	0.64
87	0.2736	0.2927	0.87	0.64
88	0.2734	0.2928	0.87	0.64
89	0.2732	0.2921	0.87	0.64
90	0.2728	0.2927	0.88	0.64
91	0.2727	0.2914	0.87	0.64
92	0.2724	0.2914	0.87	0.64
93	0.2722	0.2922	0.87	0.64
94	0.2721	0.2917	0.87	0.64
95	0.2719	0.2905	0.87	0.64
96	0.2717	0.2910	0.87	0.64
97	0.2715	0.2914	0.87	0.63
98	0.2712	0.2909	0.87	0.64
99	0.2711	0.2906	0.87	0.64
100	0.2709	0.2906	0.87	0.64
101	0.2707	0.2903	0.87	0.64
102	0.2705	0.2906	0.87	0.64
103	0.2704	0.2899	0.87	0.64
104	0.2702	0.2904	0.87	0.64
105	0.2701	0.2902	0.87	0.64
106	0.2700	0.2894	0.87	0.64
107	0.2697	0.2903	0.87	0.64
108	0.2696	0.2911	0.87	0.63
109	0.2695	0.2905	0.87	0.64
110	0.2694	0.2918	0.87	0.63
111	0.2692	0.2897	0.87	0.64
112	0.2691	0.2902	0.87	0.64
113	0.2690	0.2899	0.87	0.64
114	0.2687	0.2907	0.87	0.64
115	0.2687	0.2896	0.87	0.64
116	0.2686	0.2892	0.87	0.64
117	0.2684	0.2890	0.87	0.64
118	0.2682	0.2896	0.87	0.64
119	0.2680	0.2896	0.87	0.64
120	0.2680	0.2899	0.87	0.64
121	0.2680	0.2896	0.87	0.64
122	0.2678	0.2909	0.87	0.65
123	0.2678	0.2885	0.87	0.64
124	0.2676	0.2895	0.87	0.64
125	0.2675	0.2892	0.87	0.64
126	0.2674	0.2893	0.87	0.64
127	0.2672	0.2885	0.87	0.64
128	0.2672	0.2885	0.87	0.64
129	0.2670	0.2888	0.87	0.64
130	0.2669	0.2892	0.87	0.65
131	0.2669	0.2893	0.87	0.64
132	0.2668	0.2897	0.87	0.64
133	0.2667	0.2899	0.87	0.65
134	0.2665	0.2887	0.87	0.64
135	0.2665	0.2887	0.87	0.65
136	0.2663	0.2894	0.87	0.64
137	0.2662	0.2895	0.87	0.64
138	0.2661	0.2888	0.87	0.64
139	0.2660	0.2885	0.87	0.64
140	0.2660	0.2886	0.87	0.64
141	0.2659	0.2888	0.87	0.65
142	0.2658	0.2891	0.87	0.64
143	0.2658	0.2891	0.87	0.65
144	0.2656	0.2899	0.87	0.64
145	0.2655	0.2883	0.87	0.65
146	0.2654	0.2893	0.87	0.64
147	0.2653	0.2887	0.87	0.65
148	0.2652	0.2879	0.87	0.64
149	0.2652	0.2892	0.87	0.65
150	0.2651	0.2883	0.87	0.65
151	0.2650	0.2877	0.87	0.64
152	0.2650	0.2880	0.87	0.64
153	0.2648	0.2905	0.87	0.65
154	0.2648	0.2882	0.87	0.65
155	0.2647	0.2880	0.87	0.64
156	0.2646	0.2886	0.87	0.64
157	0.2646	0.2882	0.87	0.64
158	0.2644	0.2881	0.87	0.65
159	0.2644	0.2888	0.87	0.64
160	0.2643	0.2873	0.87	0.65
161	0.2642	0.2888	0.87	0.64
162	0.2642	0.2878	0.87	0.64
163	0.2641	0.2875	0.87	0.64
164	0.2640	0.2876	0.87	0.64
165	0.2639	0.2885	0.86	0.64
166	0.2638	0.2883	0.87	0.65
167	0.2637	0.2876	0.87	0.64
168	0.2638	0.2869	0.86	0.65
169	0.2636	0.2873	0.87	0.64
170	0.2635	0.2884	0.87	0.64
171	0.2635	0.2875	0.87	0.65
172	0.2634	0.2873	0.87	0.65
173	0.2633	0.2877	0.87	0.65
174	0.2633	0.2890	0.87	0.64
175	0.2632	0.2876	0.87	0.65
176	0.2631	0.2892	0.87	0.64
177	0.2631	0.2875	0.87	0.65
178	0.2630	0.2882	0.87	0.65
179	0.2629	0.2870	0.87	0.65
180	0.2629	0.2876	0.87	0.65
181	0.2628	0.2885	0.87	0.65
182	0.2628	0.2869	0.87	0.64
183	0.2627	0.2875	0.87	0.65
184	0.2627	0.2877	0.87	0.64
185	0.2626	0.2866	0.87	0.65
186	0.2624	0.2873	0.87	0.65
187	0.2625	0.2877	0.87	0.64
188	0.2625	0.2870	0.87	0.64
189	0.2623	0.2878	0.87	0.65
190	0.2623	0.2876	0.87	0.64
191	0.2622	0.2876	0.87	0.64
192	0.2621	0.2881	0.87	0.64
193	0.2622	0.2883	0.87	0.64
194	0.2621	0.2874	0.87	0.65
195	0.2621	0.2873	0.87	0.65
196	0.2620	0.2871	0.87	0.64
197	0.2619	0.2870	0.87	0.64
198	0.2619	0.2872	0.87	0.64
199	0.2619	0.2877	0.87	0.65
200	0.2617	0.2868	0.87	0.65

Scenario 5: Learning Rate = 0.001, Loss Function = L1Loss
Number of Batches: 32
Scheduler: ExponentialLR
Epoch	Loss	Validation RMSE	Validation Accuracy
1	0.9006	0.7384	0.95	0.56
2	0.7341	0.7272	0.93	0.57
3	0.7244	0.7206	0.93	0.58
4	0.7178	0.7155	0.92	0.58
5	0.7128	0.7117	0.92	0.58

Scenario 6: Learning Rate = 0.001, Loss Function = CrossEntropyLoss
Number of Batches: 256
Epoch	Loss	Validation RMSE	Validation Accuracy
1	0.0000	0.0000	3.95	0.00
2	0.0000	0.0000	3.95	0.00
3	0.0000	0.0000	3.95	0.00
4	0.0000	0.0000	3.95	0.00
5	0.0000	0.0000	3.95	0.00
6	0.0000	0.0000	3.95	0.00
7	0.0000	0.0000	3.95	0.00
8	0.0000	0.0000	3.95	0.00
9	0.0000	0.0000	3.95	0.00
10	0.0000	0.0000	3.95	0.00
11	0.0000	0.0000	3.95	0.00
12	0.0000	0.0000	3.95	0.00
13	0.0000	0.0000	3.95	0.00
14	0.0000	0.0000	3.95	0.00
15	0.0000	0.0000	3.95	0.00

Scenario 7: Learning Rate = 0.0001, Loss Function = BCELoss
Number of Batches: 16
Scheduler: CosineAnnealingLR
Epoch	Loss	Validation RMSE	Validation Accuracy
